year,weekofyear,0
2000,27,4.098999779291546
2000,28,4.154725470085331
2000,29,2.1697752794337624
2000,30,2.864304168129207
2000,31,2.375343853714575
2000,32,3.0493820129164604
2000,33,3.1034332924829893
2000,34,2.7119923790199905
2000,35,3.4201253372475997
2000,36,5.528956034244618
2000,37,3.6992094028552014
2000,38,3.5048451333916013
2001,27,2.8135560478659203
2001,28,2.8561805998910685
2001,29,3.392537588833082
2001,30,4.164723944895377
2001,31,2.7233290781573642
2001,32,2.9517372537414115
2001,33,3.3190616124859393
2001,34,3.27034116020921
2001,35,3.2381748704607163
2001,36,4.113787324475362
2001,37,3.533446306622456
2001,38,3.6587388404200203
2002,27,3.079534592389261
2002,28,2.764945929734072
2002,29,2.6721987632904134
2002,30,2.9949307547243365
2002,31,3.0261058607052265
2002,32,3.0588097606493694
2002,33,3.8316406592894614
2002,34,3.30234759281576
2002,35,3.632355784177054
2002,36,3.978634089853057
2002,37,3.191572901427006
2002,38,4.245072277525458
2003,27,3.28921006320864
2003,28,3.2530060773349874
2003,29,3.3505984707576784
2003,30,2.7987386453626484
2003,31,3.168925490735695
2003,32,3.4020386250652335
2003,33,3.562300684434896
2003,34,3.0907800922239894
2003,35,4.311933477125674
2003,36,3.982911710310277
2003,37,3.653802750464694
2003,38,3.1125698244554187
2004,27,3.6255858237297436
2004,28,3.605799025254973
2004,29,3.45629158834638
2004,30,3.951418232672859
2004,31,3.18442608974017
2004,32,2.633684557798958
2004,33,2.835841664012879
2004,34,3.4260535685435474
2004,35,3.495675781191779
2004,36,3.9044369820755063
2004,37,5.912214998695435
2004,38,4.749312386726735
2005,27,4.073818187978564
2005,28,3.0144186351439006
2005,29,3.2404612355355638
2005,30,2.143519736213568
2005,31,2.860780794435106
2005,32,3.094945108538105
2005,33,3.244971495399788
2005,34,3.831726250253121
2005,35,3.5115524905139295
2005,36,3.673373896776912
2005,37,5.027323342535002
2005,38,2.287184099544184
2006,27,3.355337114946823
2006,28,3.126936831262572
2006,29,3.52245950737202
2006,30,3.0830187179105866
2006,31,3.786167970796141
2006,32,3.013952442960577
2006,33,4.512549945772792
2006,34,4.376918051428687
2006,35,3.8335070420689497
2006,36,3.6652744201793066
2006,37,3.0289042414537035
2006,38,4.273186574141519
2007,27,2.7992683203986726
2007,28,3.0284496763083752
2007,29,3.5052107294747277
2007,30,3.5867095597510885
2007,31,2.6755550221222157
2007,32,2.6235828432212913
2007,33,3.4831136502996465
2007,34,3.623259177870367
2007,35,3.699968670168121
2007,36,4.165451016116639
2007,37,4.0480695817156365
2007,38,4.925634006694802
2008,27,3.107012734855404
2008,28,3.1996554436645157
2008,29,3.5302752271827553
2008,30,4.340279781915133
2008,31,3.9952657867312062
2008,32,3.9315426760677816
2008,33,3.977495282077186
2008,34,3.8260993547270434
2008,35,4.395784558114262
2008,36,4.462556484691924
2008,37,4.698520731860156
2008,38,4.272220496107196
2009,27,4.484426820600262
2009,28,4.431127304479663
2009,29,4.291704282295878
2009,30,3.2187367568308614
2009,31,4.202290382814409
2009,32,3.9803020775974502
2009,33,4.622026498023043
2009,34,4.233666420004205
2009,35,7.618076897026979
2009,36,5.795464932448927
2009,37,4.455442650199543
2009,38,4.496257615169871
