,actual,predicted_mean
2005-08-29/2005-09-04,137.0,127.87462614320336
2005-09-05/2005-09-11,131.0,142.70351224258434
2005-09-12/2005-09-18,112.0,141.74123534626617
2005-09-19/2005-09-25,82.0,136.41848046693474
2005-09-26/2005-10-02,73.0,126.8985161265479
2005-10-03/2005-10-09,43.0,122.93335430292832
2005-10-10/2005-10-16,55.0,108.22183953518461
2005-10-17/2005-10-23,55.0,123.48827120359755
2005-10-24/2005-10-30,53.0,118.27063621069661
2005-10-31/2005-11-06,46.0,122.23883505838695
2005-11-07/2005-11-13,43.0,104.4836475416306
2005-11-14/2005-11-20,29.0,108.88816293109917
2005-11-21/2005-11-27,22.0,91.13090812636005
2005-11-28/2005-12-04,26.0,89.98065154189538
2005-12-05/2005-12-11,13.0,85.69693995769282
2005-12-12/2005-12-18,17.0,79.3836844079132
2005-12-19/2005-12-25,8.0,83.18786063116795
2005-12-26/2006-01-01,13.0,69.3124054186303
2006-01-02/2006-01-08,10.0,60.25542099990458
2006-01-09/2006-01-15,17.0,61.8331027465283
2006-01-16/2006-01-22,19.0,46.66840395587726
2006-01-23/2006-01-29,9.0,54.08421583446125
2006-01-30/2006-02-05,9.0,52.416308528708726
2006-02-06/2006-02-12,9.0,38.41987873664643
2006-02-13/2006-02-19,3.0,66.4905895721772
2006-02-20/2006-02-26,7.0,36.827729647822494
2006-02-27/2006-03-05,7.0,35.130454827331455
2006-03-06/2006-03-12,0.0,37.00583640508424
2006-03-13/2006-03-19,2.0,39.89736146199891
2006-03-20/2006-03-26,3.0,38.891095146552225
2006-03-27/2006-04-02,3.0,29.344568542366954
2006-04-03/2006-04-09,1.0,27.85545499825517
2006-04-10/2006-04-16,3.0,31.593298538386748
2006-04-17/2006-04-23,3.0,33.798954603520585
2006-04-24/2006-04-30,3.0,27.390175070089136
2006-05-01/2006-05-07,7.0,25.94653766005175
2006-05-08/2006-05-14,3.0,29.144662860848143
2006-05-15/2006-05-21,5.0,43.73563261249014
2006-05-22/2006-05-28,11.0,51.89609826482547
2006-05-29/2006-06-04,5.0,35.42396883724901
2006-06-05/2006-06-11,5.0,38.06367422145263
2006-06-12/2006-06-18,6.0,42.719613030373395
2006-06-19/2006-06-25,6.0,38.56606605120271
2006-06-26/2006-07-02,4.0,40.24803977142762
2006-07-03/2006-07-09,4.0,40.669792262399014
2006-07-10/2006-07-16,8.0,34.57177309171743
2006-07-17/2006-07-23,14.0,43.55758590167462
2006-07-24/2006-07-30,12.0,36.497431195461346
2006-07-31/2006-08-06,16.0,30.884693276260798
2006-08-07/2006-08-13,10.0,34.55290955195353
2006-08-14/2006-08-20,16.0,42.92459175420711
2006-08-21/2006-08-27,18.0,45.9400906635972
2006-08-28/2006-09-03,15.0,40.389572342308256
2006-09-04/2006-09-10,23.0,45.62863194975638
2006-09-11/2006-09-17,17.0,46.06061679746419
2006-09-18/2006-09-24,33.0,44.22189568719679
2006-09-25/2006-10-01,15.0,44.9582115307494
2006-10-02/2006-10-08,13.0,49.88102717963002
2006-10-09/2006-10-15,11.0,62.60559202272469
2006-10-16/2006-10-22,14.0,44.49061250270303
2006-10-23/2006-10-29,17.0,49.13383193902785
2006-10-30/2006-11-05,19.0,37.95895688347437
2006-11-06/2006-11-12,20.0,30.007426700241012
2006-11-13/2006-11-19,12.0,46.73989562634041
2006-11-20/2006-11-26,21.0,42.74825463061775
2006-11-27/2006-12-03,7.0,35.30502719224329
2006-12-04/2006-12-10,19.0,41.09710392771362
2006-12-11/2006-12-17,10.0,38.334899939187025
2006-12-18/2006-12-24,13.0,27.94197233166167
2006-12-25/2006-12-31,13.0,28.140769159359998
2007-01-01/2007-01-07,10.0,43.048092936696236
2007-01-08/2007-01-14,8.0,42.96336268268829
2007-01-15/2007-01-21,21.0,23.776942158315332
2007-01-22/2007-01-28,11.0,38.89064238233377
2007-01-29/2007-02-04,9.0,23.100200233769595
2007-02-05/2007-02-11,14.0,17.82433727308906
2007-02-12/2007-02-18,14.0,32.579336599062955
2007-02-19/2007-02-25,15.0,41.88660760714219
2007-02-26/2007-03-04,18.0,33.54330422129927
2007-03-05/2007-03-11,16.0,37.12201854439561
2007-03-12/2007-03-18,12.0,33.29323980113326
2007-03-19/2007-03-25,20.0,31.617378381883686
2007-03-26/2007-04-01,8.0,28.892493038731033
2007-04-02/2007-04-08,3.0,36.2667878321161
2007-04-09/2007-04-15,13.0,39.564820939209774
2007-04-16/2007-04-22,4.0,32.15718793458143
2007-04-23/2007-04-29,1.0,33.2039235732681
2007-04-30/2007-05-06,10.0,38.32578893200293
2007-05-07/2007-05-13,8.0,41.78255297313647
2007-05-14/2007-05-20,13.0,51.71479390141977
2007-05-21/2007-05-27,10.0,43.75383637789928
2007-05-28/2007-06-03,21.0,35.915844352761404
2007-06-04/2007-06-10,18.0,47.55478603279743
2007-06-11/2007-06-17,21.0,43.12932086591877
2007-06-18/2007-06-24,34.0,55.760187478543905
2007-06-25/2007-07-01,25.0,57.150843990361125
2007-07-02/2007-07-08,34.0,50.54440513594377
2007-07-09/2007-07-15,33.0,53.1102632712466
2007-07-16/2007-07-22,40.0,44.08258455385778
2007-07-23/2007-07-29,42.0,48.72573717274341
2007-07-30/2007-08-05,36.0,57.09929719576942
2007-08-06/2007-08-12,72.0,50.12119966154425
2007-08-13/2007-08-19,75.0,51.56851986694688
2007-08-20/2007-08-26,76.0,56.32899453506357
2007-08-27/2007-09-02,92.0,50.154968621462665
2007-09-03/2007-09-09,71.0,56.812666824354785
2007-09-10/2007-09-16,112.0,55.22588623675771
2007-09-17/2007-09-23,106.0,48.40751505879092
2007-09-24/2007-09-30,101.0,48.88087284839186
2007-10-01/2007-10-07,170.0,55.73999752523312
2007-10-08/2007-10-14,135.0,45.88366477614197
2007-10-15/2007-10-21,106.0,53.3368919218948
2007-10-22/2007-10-28,68.0,55.22547983267587
2007-10-29/2007-11-04,48.0,49.326448971403074
2007-11-05/2007-11-11,48.0,36.57946826018633
2007-11-12/2007-11-18,26.0,43.644894470838004
2007-11-19/2007-11-25,33.0,43.91293110350925
2007-11-26/2007-12-02,29.0,38.0732889679239
2007-12-03/2007-12-09,17.0,33.25511739167273
2007-12-10/2007-12-16,12.0,29.149604031038383
2007-12-17/2007-12-23,13.0,35.608673243461375
2007-12-24/2007-12-30,17.0,33.68438179456673
2007-12-31/2008-01-06,15.0,49.504451234696326
2008-01-07/2008-01-13,14.0,45.07901066646097
2008-01-14/2008-01-20,15.0,24.04327697058129
2008-01-21/2008-01-27,10.0,42.91875573946488
2008-01-28/2008-02-03,9.0,34.45798151833476
2008-02-04/2008-02-10,2.0,40.97993821901271
2008-02-11/2008-02-17,6.0,37.747661313767075
2008-02-18/2008-02-24,8.0,28.855598025606806
2008-02-25/2008-03-02,5.0,19.077972520256054
2008-03-03/2008-03-09,1.0,30.186494155893673
2008-03-10/2008-03-16,2.0,20.173163114621353
2008-03-17/2008-03-23,3.0,32.84997942540649
2008-03-24/2008-03-30,4.0,47.32761356804321
2008-03-31/2008-04-06,3.0,25.101050544610167
2008-04-07/2008-04-13,1.0,21.94055196615584
2008-04-14/2008-04-20,3.0,41.12548260899123
2008-04-21/2008-04-27,5.0,34.33297166890369
