,week_start_date,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases
1990-04-30/1990-05-06,1990-04-30,14.0128571429,292.414285714,25.4428571429,20.0,4.0
1990-05-07/1990-05-13,1990-05-07,15.3728571429,293.951428571,26.7142857143,22.2,5.0
1990-05-14/1990-05-20,1990-05-14,16.8485714286,295.434285714,26.7142857143,22.8,4.0
1990-05-21/1990-05-27,1990-05-21,16.6728571429,295.31,27.4714285714,23.3,3.0
1990-05-28/1990-06-03,1990-05-28,17.21,295.821428571,28.9428571429,23.9,6.0
1990-06-04/1990-06-10,1990-06-04,17.2128571429,295.851428571,28.1142857143,23.9,2.0
1990-06-11/1990-06-17,1990-06-11,17.2342857143,295.865714286,27.4142857143,23.3,4.0
1990-06-18/1990-06-24,1990-06-18,17.9771428571,296.531428571,28.3714285714,22.8,5.0
1990-06-25/1990-07-01,1990-06-25,17.79,296.378571429,28.3285714286,22.8,10.0
1990-07-02/1990-07-08,1990-07-02,18.0714285714,296.651428571,28.3285714286,24.4,6.0
1990-07-09/1990-07-15,1990-07-09,17.4185714286,296.041428571,27.5571428571,21.7,8.0
1990-07-16/1990-07-22,1990-07-16,17.7371428571,296.334285714,28.1285714286,23.9,2.0
1990-07-23/1990-07-29,1990-07-23,17.3414285714,295.96,28.1142857143,22.8,6.0
1990-07-30/1990-08-05,1990-07-30,17.5942857143,296.172857143,28.2428571429,22.8,17.0
1990-08-06/1990-08-12,1990-08-06,17.95,296.532857143,28.2,23.3,23.0
1990-08-13/1990-08-19,1990-08-13,18.5157142857,297.035714286,28.0428571429,22.8,13.0
1990-08-20/1990-08-26,1990-08-20,18.1742857143,296.728571429,28.3428571429,23.3,21.0
1990-08-27/1990-09-02,1990-08-27,18.5157142857,297.017142857,28.6571428571,24.4,28.0
1990-09-03/1990-09-09,1990-09-03,17.56,296.117142857,28.3285714286,23.3,24.0
1990-09-10/1990-09-16,1990-09-10,18.7771428571,297.192857143,28.6857142857,24.4,20.0
1990-09-17/1990-09-23,1990-09-17,17.8928571429,296.431428571,28.2428571429,23.9,40.0
1990-09-24/1990-09-30,1990-09-24,17.4685714286,296.028571429,28.3428571429,24.4,27.0
1990-10-01/1990-10-07,1990-10-01,18.18,296.664285714,28.7714285714,23.9,42.0
1990-10-08/1990-10-14,1990-10-08,18.5128571429,296.928571429,28.6285714286,24.4,33.0
1990-10-15/1990-10-21,1990-10-15,18.1157142857,296.544285714,27.6285714286,23.3,43.0
1990-10-22/1990-10-28,1990-10-22,17.75,296.257142857,26.7714285714,21.7,37.0
1990-10-29/1990-11-04,1990-10-29,18.0342857143,296.534285714,27.9714285714,22.8,57.0
1990-11-05/1990-11-11,1990-11-05,18.0742857143,296.564285714,28.4714285714,23.9,71.0
1990-11-12/1990-11-18,1990-11-12,17.0857142857,295.687142857,27.5428571429,22.2,44.0
1990-11-19/1990-11-25,1990-11-19,16.7528571429,295.375714286,26.8,22.2,56.0
1990-11-26/1990-12-02,1990-11-26,16.2085714286,294.811428571,26.2,20.6,53.0
1990-12-03/1990-12-09,1990-12-03,16.1614285714,294.782857143,25.9857142857,22.2,52.0
1990-12-10/1990-12-16,1990-12-10,13.6157142857,292.004285714,24.6857142857,19.4,47.0
1990-12-17/1990-12-23,1990-12-17,15.9542857143,294.558571429,25.7142857143,21.1,26.0
1990-12-24/1990-12-30,1990-12-24,13.6828571429,292.105714286,25.1571428571,21.1,27.0
1990-12-31/1991-01-06,1991-01-01,13.5114285714,291.907142857,24.3857142857,18.9,21.0
1991-01-07/1991-01-13,1991-01-08,14.6714285714,293.282857143,24.9142857143,21.1,21.0
1991-01-14/1991-01-20,1991-01-15,14.7985714286,293.412857143,25.2428571429,21.1,26.0
1991-01-21/1991-01-27,1991-01-22,13.8785714286,292.382857143,24.7142857143,18.3,34.0
1991-01-28/1991-02-03,1991-01-29,14.0442857143,292.572857143,24.8285714286,18.9,37.0
1991-02-04/1991-02-10,1991-02-05,14.5414285714,293.15,25.0571428571,20.6,17.0
1991-02-11/1991-02-17,1991-02-12,14.46,292.972857143,25.1428571429,18.9,19.0
1991-02-18/1991-02-24,1991-02-19,15.0357142857,293.631428571,25.8428571429,20.0,25.0
1991-02-25/1991-03-03,1991-02-26,14.7942857143,293.407142857,25.2571428571,20.0,18.0
1991-03-04/1991-03-10,1991-03-05,14.92,293.531428571,26.0142857143,20.6,21.0
1991-03-11/1991-03-17,1991-03-12,14.7871428571,293.335714286,25.9285714286,20.6,17.0
1991-03-18/1991-03-24,1991-03-19,14.7457142857,293.254285714,26.0857142857,21.1,17.0
1991-03-25/1991-03-31,1991-03-26,15.1485714286,293.74,26.0571428571,22.2,16.0
1991-04-01/1991-04-07,1991-04-02,13.9914285714,292.48,25.2428571429,20.6,16.0
