,actual,predicted_mean
2005-08-29/2005-09-04,137.0,120.74026490478589
2005-09-05/2005-09-11,131.0,140.1812577203298
2005-09-12/2005-09-18,112.0,132.10560254428458
2005-09-19/2005-09-25,82.0,108.10502236029835
2005-09-26/2005-10-02,73.0,77.40750270903717
2005-10-03/2005-10-09,43.0,68.68497037249148
2005-10-10/2005-10-16,55.0,37.230876490242416
2005-10-17/2005-10-23,55.0,57.00672561174673
2005-10-24/2005-10-30,53.0,57.77963463482632
2005-10-31/2005-11-06,46.0,52.45059510760107
2005-11-07/2005-11-13,43.0,45.118809303422594
2005-11-14/2005-11-20,29.0,41.994384166307675
2005-11-21/2005-11-27,22.0,26.205698831553438
2005-11-28/2005-12-04,26.0,20.92304843367634
2005-12-05/2005-12-11,13.0,24.26660953088331
2005-12-12/2005-12-18,17.0,8.2803484118968
2005-12-19/2005-12-25,8.0,14.322401916452081
2005-12-26/2006-01-01,13.0,5.042326525588786
2006-01-02/2006-01-08,10.0,10.29481569797995
2006-01-09/2006-01-15,17.0,6.066683279530438
2006-01-16/2006-01-22,19.0,17.72600806948212
2006-01-23/2006-01-29,9.0,17.81388047292083
2006-01-30/2006-02-05,9.0,2.7706799620292246
2006-02-06/2006-02-12,9.0,4.3795545541690055
2006-02-13/2006-02-19,3.0,4.496125669734989
2006-02-20/2006-02-26,7.0,3.1034481187727363
2006-02-27/2006-03-05,7.0,7.839574110229495
2006-03-06/2006-03-12,0.0,7.254577698568374
2006-03-13/2006-03-19,2.0,-0.44400629187105883
2006-03-20/2006-03-26,3.0,2.3113100839870935
2006-03-27/2006-04-02,3.0,5.054369430952825
2006-04-03/2006-04-09,1.0,4.864459417366583
2006-04-10/2006-04-16,3.0,1.9388005695299042
2006-04-17/2006-04-23,3.0,5.343718756894141
2006-04-24/2006-04-30,3.0,6.070774722510525
2006-05-01/2006-05-07,7.0,5.853892553383075
2006-05-08/2006-05-14,3.0,9.461556736304154
2006-05-15/2006-05-21,5.0,4.812342506696478
2006-05-22/2006-05-28,11.0,7.090852844704086
2006-05-29/2006-06-04,5.0,16.14830675911857
2006-06-05/2006-06-11,5.0,7.971990168470615
2006-06-12/2006-06-18,6.0,6.718595135803082
2006-06-19/2006-06-25,6.0,9.952943963744106
2006-06-26/2006-07-02,4.0,9.374360380998851
2006-07-03/2006-07-09,4.0,5.279942359216301
2006-07-10/2006-07-16,8.0,6.248218201882291
2006-07-17/2006-07-23,14.0,9.995177151101483
2006-07-24/2006-07-30,12.0,18.43205284048436
2006-07-31/2006-08-06,16.0,16.704955322404007
2006-08-07/2006-08-13,10.0,21.44320717640449
2006-08-14/2006-08-20,16.0,11.584937942629029
2006-08-21/2006-08-27,18.0,20.129985156729585
2006-08-28/2006-09-03,15.0,22.5119842631637
2006-09-04/2006-09-10,23.0,17.989410454516634
2006-09-11/2006-09-17,17.0,28.3956942461239
2006-09-18/2006-09-24,33.0,19.441602771491898
2006-09-25/2006-10-01,15.0,40.44052572987616
2006-10-02/2006-10-08,13.0,15.370114635304411
2006-10-09/2006-10-15,11.0,13.310864865037445
2006-10-16/2006-10-22,14.0,14.914204699758747
2006-10-23/2006-10-29,17.0,17.31042200664859
2006-10-30/2006-11-05,19.0,23.744224915335973
2006-11-06/2006-11-12,20.0,23.646148159863316
2006-11-13/2006-11-19,12.0,18.330112068242485
